"Service Operations for: "	Commissions
""
"POST"	"/commissions/activation"
"PUT"	"/commissions/{sd-reference-id}/configuration"
"PUT"	"/commissions/{sd-reference-id}/feedback"
""
"Put"	"/commissions/{sd-identifier}/commission-transaction/{crbq-identifier}/control"
""	2	"inout"	"Check Task Schedule"	"BQ Check Instance Record"	String
""	3	"inout"	"Business Service"	"BQ Check Instance Record"	Business Service
""	4	"inout"	"Check Postconditions"	"BQ Check Instance Record"	String
""	5	"inout"	"Check Service Type"	"BQ Check Instance Record"	String
""	6	"inout"	"Check Service Description"	"BQ Check Instance Record"	String
""	7	"inout"	"Check Service Inputs and Ouputs"	"BQ Check Instance Record"	String
""	8	"inout"	"Check Service Work Product"	"BQ Check Instance Record"	String
""	9	"inout"	"Check Service Name"	"BQ Check Instance Record"	String
""
"Put"	"/commissions/{sd-identifier}/payment/{crbq-identifier}/update"
""	1	"inout"	"Payment Preconditions"	"BQ Payment Instance Record"	String
""	2	"inout"	"Payment Task Schedule"	"BQ Payment Instance Record"	String
""	3	"inout"	"Business Service"	"BQ Payment Instance Record"	Business Service
""	4	"inout"	"Payment Postconditions"	"BQ Payment Instance Record"	String
""	5	"inout"	"Payment Service Type"	"BQ Payment Instance Record"	String
""	6	"inout"	"Payment Service Description"	"BQ Payment Instance Record"	String
""	7	"inout"	"Payment Service Inputs and Ouputs"	"BQ Payment Instance Record"	String
""	8	"inout"	"Payment Service Work Product"	"BQ Payment Instance Record"	String
""	9	"inout"	"Payment Service Name"	"BQ Payment Instance Record"	String
""
"Put"	"/commissions/{sd-identifier}/commission-transaction/{crbq-identifier}/update"
""	1	"inout"	"Commission Transaction Parameter Type"	"CR Commission Transaction Instance Record"	String
""	2	"inout"	"Commission Transaction Selected Option"	"CR Commission Transaction Instance Record"	String
""	3	"inout"	"Commission Transaction Status"	"CR Commission Transaction Instance Record"	String
""	4	"in"	"Commission Transaction Type"	"CR Commission Transaction Instance Record"	String
""	5	"in"	"Commission Transaction Transaction Type"	"CR Commission Transaction Instance Record"	String
